judul,waktu,category,isi
Wapres Ungkap Data Amerika Soal Ketahanan Pangan Indonesia,"Selasa, 22 Maret 2022 - 17:14 WIB",Sektor Riil,"Wakil Presiden Maruf Amin mengungkapkan, berdasarkan data Amerika Serikat kemampuan bertahan cadangan pangan Indonesia pada tahun 2020 hanya sekitar 21 hari."
"Lebih Murah, YLKI Khawatir Konsumen Bakal Migrasi ke Minyak Goreng Curah","Selasa, 22 Maret 2022 - 16:48 WIB",Sektor Riil,"Ketua Yayasan Lembaga Konsumen Indonesia (YLKI) Tulus Abadi menilai, disparitas (selisih) harga antara minyak goreng curah dan kemasan terlalu lebar."
Kemenkeu Siapkan 186 Pasal yang Mengatur Pendanaan Ibu Kota Baru,"Selasa, 22 Maret 2022 - 16:24 WIB",Makro,Kementerian Keuangan tengah menyiapkan 186 pasal dalam aturan turunan Rancangan Peraturan Pelaksanaan (RPP) Undang-Undang No. 3 Tahun 2022 tentang IKN.
"Menghijau, IHSG Hari Ini Ditutup Tembus Level 7.000","Selasa, 22 Maret 2022 - 15:37 WIB",Kurs & Saham,"Indeks Harga Saham Gabungan (IHSG) hari ini mendarat di zona hijau pada sesi terakhir perdagangan. Indeks ditutup naik 45,64 poin atau 0,66% tembus ke 7.000."
"Tumbuh Berlipat dari PDB, Ekonomi Digital Jadi Kekuatan RI ke Depan","Selasa, 22 Maret 2022 - 15:29 WIB",Makro,Laju pertumbuhan ekonomi digital Indonesia diproyeksi mencapai 8 kali lebih cepat daripada pertumbuhan produk domestik bruto (PDB).
"Harga Minyak Goreng di Swalayan Mahal, Pengusaha: Harap Maklum","Selasa, 22 Maret 2022 - 14:39 WIB",Sektor Riil,"Menyusul dicabutnya aturan Harga Eceran Tertinggi (HET), minyak goreng kemasan kini tersedia melimpah di ritel modern dengan harga yang relatif mahal."
"Tarif PPN Jadi 11%, Sri Mulyani: Masih di Bawah Rata-rata Dunia 15%","Selasa, 22 Maret 2022 - 14:29 WIB",Makro,Menteri Keuangan (Menkeu) Sri Mulyani menyatakan bahwa kenaikan PPN menjadi 11% mulai April masih wajar dan berada di bawah rata-rata PPN dunia sebesar 15%.
"Sri Mulyani Kasih Sinyal Harga BBM Pertamax Bisa Naik, Pertalite Masih Aman","Selasa, 22 Maret 2022 - 14:01 WIB",Sektor Riil,"Menteri Keuangan (Menkeu) Sri Mulyani merespons terkait kabar kenaikan harga Bahan Bakar Minyak (BBM) jenis Pertalite, ketika harga minyak mentah dunia terus meroket."
"Harga Minyak Terus Melaju, Uni Eropa Bimbang Mau Embargo Minyak Rusia","Selasa, 22 Maret 2022 - 13:51 WIB",Sektor Riil,"Harga minyak mentah atau crude oil mengalami kenaikan pada perdagangan Selasa (22/3/2022), memperpanjang laju penguatan yang terjadi pada sesi sebelumnya."
"Dear UMKM, Ini Bocoran Menko Airlangga Soal Komoditas Cuan Kekinian","Selasa, 22 Maret 2022 - 13:10 WIB",Sektor Riil,"Menko Airlangga mengakui pelaku UMKM menjadi critical engine bagi pemulihan ekonomi nasional, dimana kontribusinya mencapai 61ngan menyerap 97% tenaga kerja nasional."
Pengusaha Ritel Curhat: Distributor Minyak Goreng Masih Ada yang Ngumpet,"Selasa, 22 Maret 2022 - 12:59 WIB",Sektor Riil,"Asosiasi Pengusaha Ritel Indonesia (Aprindo) membeberkan, meskipun sudah free market akan tetapi distributor yang memasok minyak goreng ke ritel modern masih terbatas."
"Sesi I IHSG Hari Ini Ditutup Menguat, Asing Belanja Rp608 Miliar","Selasa, 22 Maret 2022 - 12:57 WIB",Kurs & Saham,"Indeks Harga Saham Gabungan (IHSG) hari ini menguat 24,91 poin atau 0,36% di level 6.980 pada penutupan sesi pertama perdagangan, Selasa (22/3/2022)."
Tunggu Keputusan Mudik Dilarang atau Tidak? Ini Penjelasan Kemenhub,"Selasa, 22 Maret 2022 - 12:44 WIB",Sektor Riil,Kementerian Perhubungan menyatakan belum ada keputusan final terkait kebijakan mudik lebaran tahun ini. Aturan terkait angkutan mudik juga masih dibahas.
"Bangun IKN Nusantara, 6 Peraturan Pelaksana Dikebut Siap Bulan Depan","Selasa, 22 Maret 2022 - 12:31 WIB",Sektor Riil,"Aturan untuk memulai pembangunan Ibu Kota Negara (IKN) Nusantara terus dikebut, dimana ditargetkan ada 2 PP dan 4 Perpres untuk segera dirampungkan pada April 2022."
OJK Dorong BUMN Masuk Pasar Modal Sebagai Alternatif Pendanaan,"Selasa, 22 Maret 2022 - 11:57 WIB",Advertorial Ekbis,Otoritas Jasa Keuangan mendorong perusahaan BUMN maupun anak perusahaan BUMN untuk memanfaatkan Pasar Modal sebagai sumber alternatif pendanaan perusahaan dalam mengembangkan bisnis dan usahanya.
"Pengusaha Ritel Senang HET Minyak Goreng Dicabut, Pasokan Melimpah","Selasa, 22 Maret 2022 - 11:50 WIB",Sektor Riil,Pencabutan Harga Eceran Tertinggi (HET) minyak goreng kemasan disambut gembira oleh pengusaha ritel modern. Pasokan minyak goreng pun melimpah lagi.
OJK Rayu BUMN Agar Makin Banyak Nyebur ke Pasar Modal Indonesia,"Selasa, 22 Maret 2022 - 11:01 WIB",Bursa Finansial,Berdasarkan catatan Otoritas Jasa Keuangan (OJK) hingga saat ini jumlah perusahaan Badan Usaha Milik Negara (BUMN) yang telah melakukan penawaran umum pasar modal baru mencapai 23 perusahaan.
"Rachmat Gobel: Tak Ada Mafia Minyak Goreng, Hanya Pengusaha Cari Untung","Selasa, 22 Maret 2022 - 10:31 WIB",Sektor Riil,"Wakil Ketua DPR RI, Rachmat Gobel menyatakan, tak ada mafia minyak goreng, melainkan hanya pengusaha yang mencari celah untuk mendapatkan keuntungan."
GoTo Perpanjang Masa Bookbuilding IPO hingga 24 Maret 2022,"Selasa, 22 Maret 2022 - 10:12 WIB",Bursa Finansial,PT GoTo Gojek Tokopedia Tbk atau GoTo memperpanjang masa penawaran awal perdana saham (bookbuilding period) selama tiga hari.
"Tampil Perkasa pada Awal Sesi, IHSG Hari Ini Bertengger di Level 6.974","Selasa, 22 Maret 2022 - 09:51 WIB",Kurs & Saham,"IHSG hari ini dibuka menguat di 6.974,97 pada perdagangan Selasa pagi (22/3/2022). IHSG hari ini dibuka menguat di 6.974,97 pada perdagangan Selasa pagi (22/3/2022)."
"Harga Emas Antam Hari Ini Menguat, Termahal Dijual Rp929.600.000","Selasa, 22 Maret 2022 - 09:35 WIB",Sektor Riil,"Harga emas batangan PT Aneka Tambang (Antam) terpantau menguat pada hari kedua pekan ini usai melemah pada perdagangan kemarin, yuk intip rincian harganya."
"81 Perusahaan Wajib Kucurkan 14 Ribu Ton Minyak Goreng Curah, Begini Mekanismenya","Selasa, 22 Maret 2022 - 09:15 WIB",Sektor Riil,"81 perusahaan industri minyak goreng wajib untuk menyediakan minyak goreng curah bagi masyarakat, usaha mikro, dan usaha kecil. Diketahui harga Minyak Goreng curah di masyarakat tak boleh lebih dari Rp14.000 per liter."
NFT: Transformasi Pelindungan Hak Cipta dalam Bentuk Digital,"Selasa, 22 Maret 2022 - 09:01 WIB",Advertorial Ekbis,Fenomena Ghozali Everyday yang sukses menjual koleksi swafoto dalam bentuk Non-Fungible Token (NFT) pada platform OpenSea membuat semakin banyak orang tertarik untuk mempelajari aset digital.
Penyaluran Solar Subsidi hingga Februari Melebihi Kuota 10%,"Selasa, 22 Maret 2022 - 08:19 WIB",Sektor Riil,Masyarakat tidak perlu khawatir dan tidak perlu panic buying. Pembelian bahan bakar diimbau untuk tetap sesuai dengan kebutuhan dan tetap hemat dalam penggunaannya mengingat saat ini harga minyak sangatlah mahal.
Luhut Ajak Singapura Garap Food Estate dan Ibu Kota Baru,"Selasa, 22 Maret 2022 - 07:59 WIB",Sektor Riil,"Menteri Koordinator Maritim dan Investasi, Luhut Binsar Pandjaitan mengajak Singapura untuk ikut serta dalam pengembangan food estate dan pembangunan Ibu Kota negara baru di Kalimantan."
"Minim Booster, IHSG Hari Ini Bakal Berada di Kisaran Level 6.823-7.032","Selasa, 22 Maret 2022 - 07:13 WIB",Kurs & Saham,Indeks Harga Saham Gabungan atau IHSG hari ini berpotensi bergerak terbatas pada sepanjang perdagangan setelah kemarin merangkak naik.
Eropa Terpecah Soal Sanksi Embargo Minyak dan Gas Rusia,"Selasa, 22 Maret 2022 - 06:59 WIB",Sektor Riil,Para pemimpin Uni Eropa (UE) menemui jalan buntu mengenai apakah mereka bakal menjatuhkan sanksi sektor energi kepada Rusia ketika tekanan untuk memberikan respons atas invasi ke Ukraina semakin berat.
"Investor Asing Jual Saham Setengah Triliun Lebih, Apa Saja yang Dilepas?","Senin, 21 Maret 2022 - 23:30 WIB",Bursa Finansial,"Investor asing terpantau melakukan aksi penjualan bersih saham secara akumulatif mencapai Rp567,93 miliar sepanjang perdagangan awal pekan, Senin (21/3/2022)."
Ini Aturan Pungutan Pajak yang Bakal Berlaku Bulan Depan,"Senin, 21 Maret 2022 - 23:00 WIB",Makro,"Selain kenaikan PPN, pemerintah juga akan menerapkan pajak karbon yang merupakan implementasi dari UU HPP yang bakal berlaku pula mulai April 2022."
"Pesawat China Eastern Airlines Jatuh, Saham Boeing Langsung Menukik 6 Persen","Senin, 21 Maret 2022 - 21:58 WIB",Bursa Finansial,"Dow Jones Industrial Average turun 85,08 poin karena dipicu jatuhnya saham Boeing sebesar 5,9% menyusul insiden kecelakaan pesawat China Eastern Airlines."
